inserts,deletes,started,ended,comment,size
0,180,2021-09-24 12:51:42.843442,2021-09-24 12:51:47.955915,Complete (KID 1706),2
90,0,2021-09-24 12:49:50.599576,2021-09-24 12:50:51.33964,Complete (KID 1706),2
0,160,2021-09-24 12:47:48.635765,2021-09-24 12:47:57.601931,Complete (KID 1706),2
80,0,2021-09-24 12:45:57.104731,2021-09-24 12:46:52.63001,Complete (KID 1706),2
0,140,2021-09-24 12:43:55.880422,2021-09-24 12:44:01.107519,Complete (KID 1706),2
70,0,2021-09-24 12:42:04.558641,2021-09-24 12:42:53.371361,Complete (KID 1706),2
0,120,2021-09-24 12:40:04.989822,2021-09-24 12:40:09.557799,Complete (KID 1706),2
60,0,2021-09-24 12:38:13.729884,2021-09-24 12:38:56.018873,Complete (KID 1706),2
0,100,2021-09-24 12:36:15.165163,2021-09-24 12:36:19.730934,Complete (KID 1706),2
50,0,2021-09-24 12:34:23.876571,2021-09-24 12:35:00.147635,Complete (KID 1706),2
0,90,2021-09-24 12:32:26.675098,2021-09-24 12:32:31.874465,Complete (KID 1706),2
45,0,2021-09-24 12:30:35.305608,2021-09-24 12:31:08.6966,Complete (KID 1706),2
0,80,2021-09-24 12:28:38.780094,2021-09-24 12:28:43.800727,Complete (KID 1706),2
40,0,2021-09-24 12:26:47.316614,2021-09-24 12:27:17.7987,Complete (KID 1706),2
0,70,2021-09-24 12:24:51.745622,2021-09-24 12:24:56.27752,Complete (KID 1706),2
35,0,2021-09-24 12:23:00.526759,2021-09-24 12:23:28.263343,Complete (KID 1706),2
0,60,2021-09-24 12:21:05.056861,2021-09-24 12:21:09.529032,Complete (KID 1706),2
30,0,2021-09-24 12:19:13.744957,2021-09-24 12:19:38.574355,Complete (KID 1706),2
0,50,2021-09-24 12:17:19.18113,2021-09-24 12:17:23.74826,Complete (KID 1706),2
25,0,2021-09-24 12:15:27.757415,2021-09-24 12:15:49.688674,Complete (KID 1706),2
0,40,2021-09-24 12:13:33.619956,2021-09-24 12:13:38.260985,Complete (KID 1706),2
20,0,2021-09-24 12:11:42.57783,2021-09-24 12:12:01.592983,Complete (KID 1706),2
0,30,2021-09-24 12:09:48.552255,2021-09-24 12:09:53.082131,Complete (KID 1706),2
15,0,2021-09-24 12:07:57.402021,2021-09-24 12:08:13.562699,Complete (KID 1706),2
0,20,2021-09-24 12:06:04.444184,2021-09-24 12:06:08.905275,Complete (KID 1706),2
10,0,2021-09-24 12:04:13.631425,2021-09-24 12:04:26.949884,Complete (KID 1706),2
0,10,2021-09-24 12:02:20.644635,2021-09-24 12:02:25.135942,Complete (KID 1706),2
5,0,2021-09-24 12:00:29.699463,2021-09-24 12:00:40.144691,Complete (KID 1706),2
0,4,2021-09-24 11:58:37.755407,2021-09-24 11:58:42.19746,Complete (KID 1706),2
2,0,2021-09-24 11:56:46.900041,2021-09-24 11:56:55.717723,Complete (KID 1706),2
0,4,2021-09-24 11:56:36.978119,2021-09-24 11:56:41.425482,Complete (KID 1706),2
2,0,2021-09-24 11:32:12.722353,2021-09-24 11:32:21.46425,Complete (KID 1706),2
